"X","Y"
1,1510.8181409822
2,1510.80825283525
3,1510.81188363574
4,1510.81392596564
5,1510.81067782762
6,1510.81796659962
7,1510.80789568949
8,1510.8125577122
9,1510.81035451482
10,1510.80874693846
11,1510.8090203976
12,1510.81045059223
13,1510.81485040032
14,1510.80979279749
15,1510.8070607362
16,1510.80871108824
17,1510.8069962911
18,1510.81026732323
19,1510.81064597454
20,1510.81291544477
21,1510.81328849258
22,1510.81001585655
23,1510.80778329778
24,1510.80882904946
25,1510.8087895185
26,1510.80959419818
27,1510.80816602606
28,1510.81249919364
29,1510.80612922589
30,1510.81064613704
31,1510.81251303688
32,1510.81315264765
33,1510.81320764093
34,1510.80225689322
35,1510.80610473187
36,1510.81085530421
37,1510.80770763035
38,1510.81167528278
39,1510.80873247912
40,1510.81713909835
41,1510.8056300699
42,1510.80405566594
43,1510.80954670662
44,1510.80749935947
45,1510.80874042825
46,1510.81631805497
47,1510.8080213021
48,1510.81111728569
49,1510.80488400785
50,1510.80082149349
51,1510.80790613398
52,1510.80912705555
53,1510.81227628008
54,1510.81021454562
55,1510.8096509218
56,1510.80218396069
57,1510.81084762878
58,1510.80906819947
59,1510.80414670873
60,1510.80754033404
61,1510.80824073044
62,1510.8061518212
63,1510.80549987307
64,1510.80313804437
65,1510.80296816863
66,1510.80264494115
67,1510.80490274649
68,1510.80594282389
69,1510.81040403281
70,1510.80900809081
71,1510.80485190682
72,1510.80166424553
73,1510.80082924284
74,1510.80222916827
75,1510.80369006834
76,1510.80407162078
77,1510.80408594619
78,1510.80235754599
79,1510.80234238336
80,1510.80553149956
81,1510.80375944272
82,1510.80725447269
83,1510.80226872291
84,1510.80538049805
85,1510.80335457047
86,1510.80233888572
87,1510.80116178889
88,1510.80769036036
89,1510.79956468316
90,1510.80561665232
91,1510.80824273649
92,1510.80367597809
93,1510.80373835018
94,1510.80292718786
95,1510.80117981764
96,1510.8031646108
97,1510.80486679586
98,1510.80488402906
99,1510.80103759578
100,1510.80106410972
101,1510.80280731318
102,1510.80249484013
103,1510.80407125645
104,1510.80415989881
105,1510.80354513699
106,1510.7988448705
107,1510.79732032939
108,1510.81102964277
109,1510.80717731202
110,1510.80191112713
111,1510.80585393154
112,1510.80924827583
113,1510.80320203684
114,1510.80673674912
115,1510.80381094486
116,1510.80347489636
117,1510.79897167171
118,1510.80005334606
119,1510.8052266057
120,1510.80119964051
121,1510.80210308546
122,1510.80449322419
123,1510.79873928336
124,1510.8035924558
125,1510.8070715193
126,1510.80051933287
127,1510.80002041795
128,1510.7974211
129,1510.80503845969
130,1510.80123948521
131,1510.79540105556
132,1510.79898008911
133,1510.80522646496
134,1510.79852002891
135,1510.79800879473
136,1510.80142701963
137,1510.80136533862
138,1510.80630499285
139,1510.79941470423
140,1510.80108181609
141,1510.80135962604
142,1510.8010165908
143,1510.79811285454
144,1510.80506379496
145,1510.79690255115
146,1510.80423363776
147,1510.79478168904
148,1510.80213331869
149,1510.79876325953
150,1510.79830986911
151,1510.79221533477
152,1510.79849173144
